4,3,51.7,5.95,115.08,Đ.Âu Dương Lân,P.3,Q.8,Hồ Chí Minh
4,4,49.9,6.45,129.25,Đ.Phan Huy Ích,P.14,Q.Gò Vấp,Hồ Chí Minh
2,2,44.2,4.95,111.99,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,3,50.1,5.35,106.78,Đ.Số 12,P.Hiệp Bình Phước,Q.Thủ Đức,Hồ Chí Minh
2,3,22.3,5.15,230.94,Đ.Phùng Văn Cung,P.2,Q.Phú Nhuận,Hồ Chí Minh
4,3,84.42,6.55,77.58,Đ.Phan Huy Ích,P.14,Q.Gò Vấp,Hồ Chí Minh
4,3,36,6.65,184.72,Đ.Nguyễn Hiền,P.4,Q.3,Hồ Chí Minh
3,3,50.8,9.6,188.97,Đ.Ba Tháng Hai,P.2,Q.11,Hồ Chí Minh
7,6,43.8,8.36,190.89,Đ.Tô Hiến Thành,P.13,Q.10,Hồ Chí Minh
3,4,28,5.85,208.92,Đ.Thích Quảng Đức,P.5,Q.Phú Nhuận,Hồ Chí Minh
2,2,55,5.75,104.54,Đ.Số 8,P.11,Q.Gò Vấp,Hồ Chí Minh
3,3,24,6.1,254.16,Đ.Nguyễn Đình Chiểu,P.4,Q.3,Hồ Chí Minh
3,3,27.9,6.35,227.59,Đ.Nguyễn Văn Đậu,P.11,Q.Bình Thạnh,Hồ Chí Minh
3,4,94.2,11,116.77,Đ.28B,P.Phước Long B,Q.9,Hồ Chí Minh
8,8,103.6,16.9,163.12,Đ.C1,P.13,Q.Tân Bình,Hồ Chí Minh
6,2,237.9,22,92.47,Đ.QL13 Cũ,P.Hiệp Bình Phước,Q.Thủ Đức,
3,2,169.4,4.25,25.08,Ấp 1,X.Quy Đức,H.Bình Chánh,Hồ Chí Minh
7,4,34.6,13.5,390.17,Đ.Hùng Vương,P.1,Q.10,Hồ Chí Minh
3,3,31.1,6,192.92,Đ.Đoàn Thị Điểm,P.1,Q.Phú Nhuận,Hồ Chí Minh
7,11,177.8,35,196.85,Đ.Hậu Giang,P.4,Q.Tân Bình,Hồ Chí Minh
4,4,87.5,5.15,58.85,Đ.Vườn Lài,P.An Phú Đông,Q.12,Hồ Chí Minh
2,2,43.9,2.8,63.78,Đ.Hiệp Thành 26,P.Hiệp Thành,Q.12,Hồ Chí Minh
2,3,25.2,2.4,95.23,Đ.Tùng Thiện Vương,P.11,Q.8,Hồ Chí Minh
1,1,28.1,1.5,53.38,Đ.Nguyễn Tuân,P.3,Q.Gò Vấp,Hồ Chí Minh
2,1,52.9,3,56.71,Đ.Hiệp Thành 13,P.Hiệp Thành,Q.12,Hồ Chí Minh
